Date,Cases,Deaths
11/2/2021,482,5
11/3/2021,696,12
11/4/2021,800,14
11/5/2021,868,17
11/6/2021,791,9
11/7/2021,727,9
11/8/2021,555,14
11/9/2021,448,11
11/10/2021,844,15
11/11/2021,985,6
11/12/2021,909,10
11/13/2021,983,20
11/14/2021,819,11
11/15/2021,717,7
11/16/2021,702,7
11/17/2021,791,11
11/18/2021,1079,10
11/19/2021,1082,6
11/20/2021,1017,9
11/21/2021,1006,10
11/22/2021,832,8
11/23/2021,740,16
11/24/2021,905,3
11/25/2021,0,0
11/26/2021,0,0
11/27/2021,2803,30
11/28/2021,838,8
11/29/2021,762,4
11/30/2021,1244,16
12/1/2021,1142,14
12/2/2021,1828,9
12/3/2021,1700,11
12/4/2021,1866,15
12/5/2021,997,0
12/6/2021,979,0
12/7/2021,1189,0
12/8/2021,1207,0
12/9/2021,1520,0
12/10/2021,1745,0
12/11/2021,1240,0
12/12/2021,1361,0
12/13/2021,1450,0
12/14/2021,1716,0
12/15/2021,2191,0
12/16/2021,3145,0
12/17/2021,3533,0
12/18/2021,3351,0
12/19/2021,2472,0
12/20/2021,1184,0
12/21/2021,6438,0
12/22/2021,4619,0
12/23/2021,7519,0
12/24/2021,10630,0
12/25/2021,9928,0
12/26/2021,6194,0
12/27/2021,5784,0
12/28/2021,7280,417
12/29/2021,11910,31
12/30/2021,15446,55
12/31/2021,13107,0
1/1/2022,14909,0
1/2/2022,11282,112
1/3/2022,14919,26
1/4/2022,15247,48
1/5/2022,11213,49
1/6/2022,13718,55
1/7/2022,12789,59
1/8/2022,13765,51
1/9/2022,17872,53
1/10/2022,10152,47
1/11/2022,10313,70
1/12/2022,11686,87
1/13/2022,11227,65
1/14/2022,10489,71
1/15/2022,10358,57
1/16/2022,8214,58
1/17/2022,6788,52
1/18/2022,3432,68
1/19/2022,4353,80
1/20/2022,9232,77
1/21/2022,5012,79
1/22/2022,5068,79
1/23/2022,3786,22
1/24/2022,2788,35
1/25/2022,2575,75
1/26/2022,3100,47
1/27/2022,3439,54
1/28/2022,3173,53
1/29/2022,2527,45
1/30/2022,2005,33
1/31/2022,1125,19
2/1/2022,1582,48
2/2/2022,1474,40
2/3/2022,2172,39
2/4/2022,1693,44
2/5/2022,1691,36
2/6/2022,1165,33
2/7/2022,795,21
2/8/2022,796,42
2/9/2022,794,40
2/10/2022,1099,37
2/11/2022,938,10
2/12/2022,941,31
2/13/2022,718,12
2/14/2022,425,8
2/15/2022,443,14
2/16/2022,481,26
2/17/2022,751,16
2/18/2022,854,7
2/19/2022,865,15
2/20/2022,1089,8
2/21/2022,0,0
2/22/2022,752,38
2/23/2022,341,13
2/24/2022,661,14
2/25/2022,672,15
2/26/2022,947,14
2/27/2022,381,14
2/28/2022,389,3
3/1/2022,355,13
3/2/2022,405,11
3/3/2022,471,14
3/4/2022,398,11
3/5/2022,382,5
3/6/2022,249,7
3/7/2022,223,5
3/8/2022,294,18
3/9/2022,277,12
3/10/2022,383,11
3/11/2022,346,8
3/12/2022,370,12
3/13/2022,204,12
3/14/2022,146,2
3/15/2022,258,8
3/16/2022,332,9
3/17/2022,376,2
3/18/2022,430,4
3/19/2022,358,7
3/20/2022,204,5
3/21/2022,175,6
3/22/2022,182,1
3/23/2022,246,8
3/24/2022,362,5
3/25/2022,391,2
3/26/2022,401,6
3/27/2022,225,2
3/28/2022,212,1
3/29/2022,277,4
3/30/2022,287,12
3/31/2022,421,2
4/1/2022,438,2
4/2/2022,0,0
4/3/2022,0,0
4/4/2022,1039,14
4/5/2022,300,2
4/6/2022,527,2
4/7/2022,491,3
4/8/2022,644,3
4/9/2022,0,0
4/10/2022,0,0
4/11/2022,1613,6
4/12/2022,499,8
4/13/2022,456,6
4/14/2022,775,4
4/15/2022,786,3
4/16/2022,0,0
4/17/2022,0,0
4/18/2022,864,3
4/19/2022,1874,6
4/20/2022,636,5
4/21/2022,1044,6
4/22/2022,1015,4
4/23/2022,0,0
4/24/2022,0,0
4/25/2022,1005,3
4/26/2022,2101,9
4/27/2022,726,7
4/28/2022,1392,8
4/29/2022,1389,7
4/30/2022,0,0
5/1/2022,0,0
5/2/2022,1242,6
5/3/2022,2233,15
5/4/2022,1330,3
5/5/2022,1525,2
5/6/2022,1913,4
5/7/2022,0,0
5/8/2022,0,0
5/9/2022,1845,9
5/10/2022,4100,10
5/11/2022,1540,5
5/12/2022,2210,9
5/13/2022,2467,1
5/14/2022,0,0
5/15/2022,0,0
5/16/2022,2609,4
5/17/2022,5696,18
5/18/2022,1992,3
5/19/2022,2770,2
5/20/2022,3016,4
5/21/2022,0,0
5/22/2022,0,0
5/23/2022,2184,4
5/24/2022,5934,14
5/25/2022,1983,12
5/26/2022,2625,11
5/27/2022,2677,2
5/28/2022,0,0
5/29/2022,0,0
5/30/2022,0,0
5/31/2022,2204,3
6/1/2022,7813,16
6/2/2022,27,7
6/3/2022,2489,9
6/4/2022,0,0
6/5/2022,0,0
6/6/2022,2368,5
6/7/2022,4454,17
6/8/2022,1359,3
6/9/2022,1756,6
6/10/2022,1551,11
6/11/2022,0,0
6/12/2022,0,0
6/13/2022,1888,7
6/14/2022,3426,16
6/15/2022,1144,8
6/16/2022,1633,9
6/17/2022,1915,8
6/18/2022,0,0
6/19/2022,0,0
6/20/2022,0,0
6/21/2022,1388,10
6/22/2022,4007,23
6/23/2022,1598,4
6/24/2022,1698,4
6/25/2022,0,0
6/26/2022,0,0
6/27/2022,1634,5
6/28/2022,3649,13
6/29/2022,1434,6
6/30/2022,1716,5
7/1/2022,1796,5
7/2/2022,0,0
7/3/2022,0,0
7/4/2022,0,0
7/5/2022,1592,11
7/6/2022,4457,21
7/7/2022,1205,2
7/8/2022,1873,7
7/9/2022,0,0
7/10/2022,0,0
7/11/2022,1918,3
7/12/2022,4061,14
7/13/2022,1780,10
7/14/2022,1776,5
7/15/2022,1782,10
7/16/2022,0,0
7/17/2022,0,0
7/18/2022,1824,5
7/19/2022,3514,13
7/20/2022,2036,2
7/21/2022,2058,7
7/22/2022,1729,8
7/23/2022,0,0
7/24/2022,0,0
7/25/2022,1859,7
7/26/2022,4073,23
7/27/2022,1663,20
7/28/2022,1975,11
7/29/2022,1913,0
7/30/2022,0,0
7/31/2022,0,0
8/1/2022,1804,11
8/2/2022,3976,11
8/3/2022,1532,11
8/4/2022,1973,0
8/5/2022,1720,5
8/6/2022,0,0
8/7/2022,0,0
8/8/2022,1552,4
8/9/2022,3773,15
8/10/2022,1749,11
8/11/2022,1916,12
8/12/2022,1940,6
8/13/2022,0,0
8/14/2022,0,0
8/15/2022,1540,4
8/16/2022,2894,21
8/17/2022,1240,9
8/18/2022,1777,8
8/19/2022,1526,6
8/20/2022,0,0
8/21/2022,0,0
8/22/2022,1317,7
8/23/2022,2951,12
8/24/2022,1102,8
8/25/2022,1369,11
8/26/2022,1259,6
8/27/2022,0,0
8/28/2022,0,0
8/29/2022,1287,8
8/30/2022,2548,16
8/31/2022,961,13
9/1/2022,1349,6
9/2/2022,1076,5
9/3/2022,0,0
9/4/2022,0,0
9/5/2022,0,0
9/6/2022,1161,7
9/7/2022,2897,21
9/8/2022,890,7
9/9/2022,1339,13
9/10/2022,0,0
9/11/2022,0,0
9/12/2022,1265,10
9/13/2022,2197,17
9/14/2022,1014,11
9/15/2022,1230,9
9/16/2022,1206,7
9/17/2022,0,0
9/18/2022,0,0
9/19/2022,984,10
9/20/2022,1983,18
9/21/2022,964,11
9/22/2022,1090,7
9/23/2022,991,4
9/24/2022,0,0
9/25/2022,0,0
9/26/2022,985,9
9/27/2022,1700,16
9/28/2022,889,10
9/29/2022,860,4
9/30/2022,851,9
10/1/2022,0,0
10/2/2022,0,0
10/3/2022,812,3
10/4/2022,1514,10
10/5/2022,685,6
10/6/2022,837,1
10/7/2022,785,4
10/8/2022,0,0
10/9/2022,0,0
10/10/2022,0,0
