Date,VZ_Close_Last,T_Close_Last
2020-07-30,57.3,23.14
2020-07-29,57.45,23.13
2020-07-28,57.48,23.23
2020-07-27,56.87,22.92
2020-07-24,56.85,23.14
2020-07-23,55.85,23.4
2020-07-22,55.75,23.6
2020-07-21,55.84,23.67
2020-07-20,55.87,23.36
2020-07-17,56.3,23.67
2020-07-16,55.78,23.78
2020-07-15,55.06,23.48
2020-07-14,55.44,23.44
2020-07-13,54.45,23.29
2020-07-10,54.49,23.58
2020-07-09,53.94,23.12
2020-07-08,55.38,23.84
2020-07-07,55.04,23.73
2020-07-06,55.24,23.86
2020-07-02,54.79,23.54
2020-07-01,54.67,23.4
2020-06-30,55.13,23.66
2020-06-29,54.69,23.41
2020-06-26,53.16,22.76
2020-06-25,54.28,23.26
2020-06-24,53.93,23.02
2020-06-23,54.94,23.67
2020-06-22,55.66,23.56
2020-06-19,56.16,23.72
2020-06-18,56.89,23.75
2020-06-17,56.65,23.68
2020-06-16,56.92,24.09
2020-06-15,56.15,23.87
2020-06-12,56.53,23.87
2020-06-11,56.45,23.61
2020-06-10,58.05,25.15
2020-06-09,57.86,25.53
2020-06-08,58.09,26.0
2020-06-05,57.74,25.64
2020-06-04,57.22,24.88
2020-06-03,56.83,24.66
2020-06-02,56.4,24.25
2020-06-01,55.78,24.2
2020-05-29,57.38,24.15
2020-05-28,55.72,24.31
2020-05-27,55.14,24.92
2020-05-26,54.3,24.12
2020-05-22,54.1,23.38
2020-05-21,53.97,23.3
2020-05-20,54.26,23.15
2020-05-19,54.38,22.66
2020-05-18,55.72,23.05
2020-05-15,54.71,22.15
2020-05-14,54.91,22.36
2020-05-13,54.85,21.98
2020-05-12,55.46,22.61
2020-05-11,56.4,22.99
2020-05-08,57.0,23.31
2020-05-07,55.58,22.61
2020-05-06,55.64,22.53
2020-05-05,56.51,23.27
2020-05-04,56.24,23.16
2020-05-01,56.83,23.4
2020-04-30,57.45,23.84
2020-04-29,58.12,24.59
2020-04-28,57.83,23.98
2020-04-27,57.81,23.9
2020-04-24,57.93,23.25
2020-04-23,57.59,23.08
2020-04-22,57.99,23.06
2020-04-21,56.82,23.37
2020-04-20,58.13,24.24
2020-04-17,58.46,24.44
2020-04-16,57.66,23.6
2020-04-15,56.93,23.55
2020-04-14,58.14,24.36
2020-04-13,56.67,23.62
2020-04-09,57.44,24.05
2020-04-08,57.8,23.39
2020-04-07,56.98,23.54
2020-04-06,56.7,23.04
2020-04-03,54.7,21.49
2020-04-02,55.25,22.51
2020-04-01,52.92,21.95
2020-03-31,53.73,22.81
2020-03-30,54.77,23.66
2020-03-27,52.77,23.35
2020-03-26,53.54,23.95
2020-03-25,49.94,22.22
2020-03-24,49.99,21.98
2020-03-23,50.31,20.95
2020-03-20,51.8,22.26
2020-03-19,53.62,24.38
2020-03-18,54.32,25.71
2020-03-17,54.31,26.4
2020-03-16,50.99,24.89
2020-03-13,54.17,26.97
2020-03-12,51.2,24.52
2020-03-11,54.83,27.01
2020-03-10,56.52,28.05
2020-03-09,55.83,27.15
2020-03-06,56.87,28.98
2020-03-05,57.16,29.09
2020-03-04,58.12,29.88
2020-03-03,55.7,28.41
2020-03-02,57.32,29.09
2020-02-28,54.16,27.56
2020-02-27,55.06,27.96
2020-02-26,57.14,29.03
2020-02-25,57.12,29.23
2020-02-24,57.99,29.77
2020-02-21,58.2,30.17
2020-02-20,58.09,30.21
2020-02-19,58.22,30.08
2020-02-18,57.91,29.94
2020-02-14,58.51,29.93
2020-02-13,58.65,29.98
2020-02-12,58.23,29.77
2020-02-11,58.69,29.87
2020-02-10,60.24,30.0
