Date,VZ_Close_Last,T_Close_Last
11/4/2021,51.85,19.41
11/3/2021,52.94,19.70
11/2/2021,52.57,19.74
11/1/2021,52.95,19.85
10/29/2021,52.99,19.77
10/28/2021,52.80,19.99
10/27/2021,52.63,19.61
10/26/2021,53.08,19.85
10/25/2021,52.58,20.06
10/22/2021,52.93,19.95
10/21/2021,53.39,20.16
10/20/2021,53.61,20.28
10/19/2021,52.35,20.02
10/18/2021,51.91,19.82
10/15/2021,52.27,20.11
10/14/2021,51.92,20.05
10/13/2021,51.35,19.80
10/12/2021,51.33,19.90
10/11/2021,52.18,20.37
10/8/2021,53.24,20.95
10/7/2021,53.90,21.20
10/6/2021,54.53,21.37
10/5/2021,54.51,21.40
10/4/2021,54.50,21.32
10/1/2021,54.30,21.25
9/30/2021,54.01,21.14
9/29/2021,54.38,21.44
9/28/2021,54.16,21.32
9/27/2021,54.47,21.44
9/24/2021,54.37,21.23
9/23/2021,54.42,21.28
9/22/2021,54.06,21.14
9/21/2021,54.03,21.10
9/20/2021,54.26,21.29
9/17/2021,54.28,21.54
9/16/2021,54.43,21.60
9/15/2021,54.57,21.57
9/14/2021,54.41,21.39
9/13/2021,54.62,21.53
9/10/2021,54.23,21.27
9/9/2021,54.44,21.46
9/8/2021,54.91,21.60
9/7/2021,54.82,21.46
9/3/2021,55.43,21.57
9/2/2021,55.29,21.63
9/1/2021,54.94,21.28
8/31/2021,55.00,21.46
8/30/2021,54.77,21.31
8/27/2021,54.77,21.23
8/26/2021,54.60,21.14
8/25/2021,54.93,21.46
8/24/2021,55.01,21.48
8/23/2021,55.42,21.53
8/20/2021,55.52,21.57
8/19/2021,55.37,21.54
8/18/2021,55.47,21.78
8/17/2021,56.18,22.06
8/16/2021,55.98,22.07
8/13/2021,55.87,22.06
8/12/2021,55.64,21.93
8/11/2021,55.57,22.04
8/10/2021,55.48,21.98
8/9/2021,55.12,21.79
8/6/2021,55.22,21.88
8/5/2021,55.30,21.86
8/4/2021,55.37,21.79
8/3/2021,55.73,22.06
8/2/2021,55.76,22.00
7/30/2021,55.78,21.95
7/29/2021,55.98,22.14
7/28/2021,55.72,21.92
7/27/2021,56.20,22.07
7/26/2021,55.78,22.05
7/23/2021,55.88,22.03
7/22/2021,55.95,21.92
7/21/2021,55.95,21.83
7/20/2021,55.58,21.84
7/19/2021,55.84,21.75
7/16/2021,56.46,22.18
7/15/2021,56.55,22.25
7/14/2021,56.32,22.11
7/13/2021,56.09,22.12
7/12/2021,56.15,22.29
7/9/2021,56.07,22.26
7/8/2021,55.68,22.05
7/7/2021,56.53,22.64
7/6/2021,56.41,22.71
7/2/2021,56.44,22.87
7/1/2021,56.29,22.78
6/30/2021,56.03,22.52
6/29/2021,55.84,22.43
6/28/2021,56.18,22.52
6/25/2021,56.38,22.61
6/24/2021,56.37,22.53
6/23/2021,56.07,22.42
6/22/2021,56.37,22.52
6/21/2021,56.39,22.64
6/18/2021,55.82,22.42
6/17/2021,56.53,22.49
6/16/2021,56.64,22.74
6/15/2021,57.29,22.91
6/14/2021,57.18,22.76
6/11/2021,57.33,22.94
6/10/2021,57.34,22.83
6/9/2021,57.05,22.70
6/8/2021,57.15,22.68
6/7/2021,57.20,22.76
6/4/2021,57.30,22.90
6/3/2021,56.98,22.87
6/2/2021,56.65,23.17
6/1/2021,56.38,22.94
5/28/2021,56.49,23.03
5/27/2021,56.29,23.25
5/26/2021,56.36,23.12
5/25/2021,56.48,23.10
5/24/2021,56.98,23.28
5/21/2021,56.91,23.48
5/20/2021,56.79,23.19
5/19/2021,56.92,22.66
5/18/2021,57.18,23.12
5/17/2021,57.94,24.55
5/14/2021,58.69,25.23
5/13/2021,58.81,25.20
5/12/2021,58.41,25.02
5/11/2021,58.54,25.24
5/10/2021,59.52,25.53
5/7/2021,58.72,25.17
5/6/2021,59.29,25.36
5/5/2021,58.69,25.06
5/4/2021,58.60,25.06
5/3/2021,57.92,24.65
4/30/2021,57.79,24.58
4/29/2021,57.32,24.52
4/28/2021,56.43,24.23
4/27/2021,56.32,24.08
4/26/2021,56.94,24.19
4/23/2021,57.30,24.57
4/22/2021,57.28,24.54
4/21/2021,58.14,23.56
4/20/2021,58.39,23.39
4/19/2021,58.39,23.47
4/16/2021,58.28,23.44
4/15/2021,57.70,23.28
4/14/2021,57.70,23.26
4/13/2021,57.62,23.19
4/12/2021,57.54,23.44
4/9/2021,57.49,23.51
4/8/2021,57.60,23.48
4/7/2021,59.00,24.20
4/6/2021,59.11,24.24
4/5/2021,58.87,24.03
4/1/2021,58.30,23.84
3/31/2021,58.15,23.69
3/30/2021,58.59,24.05
3/29/2021,58.83,23.91
3/26/2021,58.18,23.72
3/25/2021,57.38,23.54
3/24/2021,57.01,23.47
3/23/2021,56.91,23.48
3/22/2021,56.59,23.47
3/19/2021,56.24,23.29
3/18/2021,56.31,23.48
3/17/2021,55.75,23.59
3/16/2021,55.64,23.47
