Date,State,Cases,Deaths
2021-02-14,Alabama,1075,0
2021-02-15,Alabama,674,2
2021-02-16,Alabama,883,13
2021-02-17,Alabama,679,89
2021-02-18,Alabama,1198,78
2021-02-19,Alabama,847,149
2021-02-20,Alabama,774,17
2021-02-21,Alabama,857,2
2021-02-22,Alabama,677,0
2021-02-23,Alabama,1453,68
2021-02-24,Alabama,1247,84
2021-02-25,Alabama,890,87
2021-02-26,Alabama,739,38
2021-02-27,Alabama,834,61
2021-02-28,Alabama,569,1
2021-03-01,Alabama,517,2
2021-03-02,Alabama,652,60
2021-03-03,Alabama,2733,38
2021-03-04,Alabama,922,65
2021-03-05,Alabama,811,28
2021-03-06,Alabama,524,27
2021-03-07,Alabama,408,1
2021-03-08,Alabama,273,0
2021-03-09,Alabama,524,38
2021-03-10,Alabama,782,36
2021-03-11,Alabama,865,52
2021-03-12,Alabama,448,25
2021-03-13,Alabama,594,28
2021-03-14,Alabama,368,0
2021-03-15,Alabama,4556,2
2021-03-16,Alabama,488,8
2021-03-17,Alabama,759,26
2021-03-18,Alabama,572,28
2021-03-19,Alabama,531,34
2021-03-20,Alabama,508,11
2021-03-21,Alabama,373,0
2021-03-22,Alabama,319,0
2021-03-23,Alabama,10,14
2021-03-24,Alabama,922,37
2021-03-25,Alabama,427,17
2021-03-26,Alabama,442,19
2021-03-27,Alabama,492,3
2021-03-28,Alabama,319,0
2021-03-29,Alabama,228,0
2021-03-30,Alabama,361,1
2021-03-31,Alabama,408,27
2021-04-01,Alabama,478,1
2021-04-02,Alabama,400,54
2021-04-03,Alabama,349,30
2021-04-04,Alabama,194,0
2021-04-05,Alabama,109,1
2021-04-06,Alabama,196,14
2021-04-07,Alabama,338,0
2021-04-08,Alabama,464,23
2021-04-09,Alabama,318,11
2021-04-10,Alabama,354,26
2021-04-11,Alabama,311,0
2021-04-12,Alabama,172,0
2021-04-13,Alabama,1432,10
2021-04-14,Alabama,277,6
2021-04-15,Alabama,421,8
2021-04-16,Alabama,422,3
2021-04-17,Alabama,508,51
2021-04-18,Alabama,270,0
2021-04-19,Alabama,111,0
2021-04-20,Alabama,1443,8
2021-04-21,Alabama,412,9
2021-04-22,Alabama,682,17
2021-04-23,Alabama,428,16
2021-04-24,Alabama,421,11
2021-04-25,Alabama,233,0
2021-04-26,Alabama,217,1
2021-04-27,Alabama,359,2
2021-04-28,Alabama,376,25
2021-04-29,Alabama,430,8
2021-04-30,Alabama,409,9
2021-05-01,Alabama,387,17
2021-05-02,Alabama,288,0
2021-05-03,Alabama,187,0
2021-05-04,Alabama,0,0
2021-05-05,Alabama,662,17
2021-05-06,Alabama,565,16
2021-05-07,Alabama,314,20
2021-05-08,Alabama,419,12
2021-05-09,Alabama,244,0
2021-05-10,Alabama,106,0
2021-05-11,Alabama,310,7
2021-05-12,Alabama,347,12
2021-05-13,Alabama,1144,4
2021-05-14,Alabama,4918,23
2021-05-15,Alabama,2016,14
2021-05-16,Alabama,254,0
2021-05-17,Alabama,184,0
2021-05-18,Alabama,336,5
2021-05-19,Alabama,288,2
2021-05-20,Alabama,339,32
2021-05-21,Alabama,443,3
2021-05-22,Alabama,255,32
2021-05-23,Alabama,196,0
2021-05-24,Alabama,132,0
2021-05-25,Alabama,306,12
2021-05-26,Alabama,269,14
2021-05-27,Alabama,346,2
2021-05-28,Alabama,228,6
2021-05-29,Alabama,0,0
2021-05-30,Alabama,0,0
2021-05-31,Alabama,0,0
2021-06-01,Alabama,640,10
2021-06-02,Alabama,553,11
2021-06-03,Alabama,430,21
2021-06-04,Alabama,557,10
2021-06-05,Alabama,0,0
2021-06-06,Alabama,0,0
2021-06-07,Alabama,739,19
2021-06-08,Alabama,216,3
2021-06-09,Alabama,305,29
2021-06-10,Alabama,290,3
2021-06-11,Alabama,188,14
2021-06-12,Alabama,0,0
2021-06-13,Alabama,0,0
2021-06-14,Alabama,550,8
2021-06-15,Alabama,290,7
2021-06-16,Alabama,160,7
2021-06-17,Alabama,0,0
2021-06-18,Alabama,334,18
2021-06-19,Alabama,0,0
2021-06-20,Alabama,0,0
2021-06-21,Alabama,356,5
2021-06-22,Alabama,0,0
2021-06-23,Alabama,381,17
2021-06-24,Alabama,0,0
2021-06-25,Alabama,540,8
2021-06-26,Alabama,0,0
2021-06-27,Alabama,0,0
2021-06-28,Alabama,517,2
2021-06-29,Alabama,0,0
2021-06-30,Alabama,532,14
2021-07-01,Alabama,0,0
2021-07-02,Alabama,315,6
2021-07-03,Alabama,0,0
2021-07-04,Alabama,0,0
2021-07-05,Alabama,0,0
2021-07-06,Alabama,0,0
2021-07-07,Alabama,1613,29
2021-07-08,Alabama,0,0
2021-07-09,Alabama,1160,11
2021-07-10,Alabama,534,4
2021-07-11,Alabama,0,0
2021-07-12,Alabama,610,0
2021-07-13,Alabama,0,0
2021-07-14,Alabama,1398,26
2021-07-15,Alabama,965,11
2021-07-16,Alabama,999,3
2021-07-17,Alabama,901,1
2021-07-18,Alabama,724,0
2021-07-19,Alabama,718,0
2021-07-20,Alabama,1391,17
2021-07-21,Alabama,1632,2
2021-07-22,Alabama,1567,6
2021-07-23,Alabama,1733,4
2021-07-24,Alabama,1888,11
2021-07-25,Alabama,1536,0
2021-07-26,Alabama,1403,0
2021-07-27,Alabama,2667,9
2021-07-28,Alabama,2726,18
2021-07-29,Alabama,0,0
2021-07-30,Alabama,0,0
2021-07-31,Alabama,8144,26
2021-08-01,Alabama,1798,0
2021-08-02,Alabama,1705,0
2021-08-03,Alabama,3307,6
2021-08-04,Alabama,3399,19
2021-08-05,Alabama,3817,13
2021-08-06,Alabama,3685,26
2021-08-07,Alabama,3891,24
2021-08-08,Alabama,0,0
2021-08-09,Alabama,4877,1
2021-08-10,Alabama,3815,23
2021-08-11,Alabama,3851,41
2021-08-12,Alabama,4167,35
2021-08-13,Alabama,3986,41
2021-08-14,Alabama,0,0
2021-08-15,Alabama,6992,33
2021-08-16,Alabama,2466,1
2021-08-17,Alabama,4023,33
2021-08-18,Alabama,4465,40
2021-08-19,Alabama,3890,42
2021-08-20,Alabama,3799,28
2021-08-21,Alabama,6210,58
2021-08-22,Alabama,3315,0
2021-08-23,Alabama,2588,0
2021-08-24,Alabama,0,0
2021-08-25,Alabama,0,0
2021-08-26,Alabama,11142,103
2021-08-27,Alabama,5033,50
2021-08-28,Alabama,6190,66
2021-08-29,Alabama,3433,3
2021-08-30,Alabama,3072,0
2021-08-31,Alabama,5206,61
2021-09-01,Alabama,4691,8
2021-09-02,Alabama,5312,39
2021-09-03,Alabama,5128,64
2021-09-04,Alabama,4420,20
2021-09-05,Alabama,2842,1
2021-09-06,Alabama,2566,1
2021-09-07,Alabama,2672,4
2021-09-08,Alabama,4791,68
2021-09-09,Alabama,4367,64
2021-09-10,Alabama,4800,53
2021-09-11,Alabama,4494,68
2021-09-12,Alabama,1794,3
2021-09-13,Alabama,2692,2
2021-09-14,Alabama,3944,40
2021-09-15,Alabama,3651,66
2021-09-16,Alabama,3972,72
2021-09-17,Alabama,2974,192
2021-09-18,Alabama,3462,161
2021-09-19,Alabama,2090,1
2021-09-20,Alabama,1920,0
2021-09-21,Alabama,3220,250
2021-09-22,Alabama,3018,205
2021-09-23,Alabama,3366,133
2021-09-24,Alabama,2569,123
2021-09-25,Alabama,2937,101
2021-09-26,Alabama,1633,0
2021-09-27,Alabama,1594,3
2021-09-28,Alabama,1984,130
2021-09-29,Alabama,2141,45
2021-09-30,Alabama,1702,99
2021-10-01,Alabama,1845,94
2021-10-02,Alabama,1480,76
2021-10-03,Alabama,892,1
2021-10-04,Alabama,736,1
2021-10-05,Alabama,1549,71
2021-10-06,Alabama,1272,70
2021-10-07,Alabama,1262,63
2021-10-08,Alabama,1049,81
2021-10-09,Alabama,919,101
2021-10-10,Alabama,653,1
2021-10-11,Alabama,467,1
2021-10-12,Alabama,886,10
2021-10-13,Alabama,1016,111
2021-10-14,Alabama,1050,121
2021-10-15,Alabama,1143,41
2021-10-16,Alabama,787,37
2021-10-17,Alabama,544,0
2021-10-18,Alabama,338,0
2021-10-19,Alabama,961,84
2021-10-20,Alabama,665,48
2021-10-21,Alabama,1065,9
2021-10-22,Alabama,1598,58
2021-10-23,Alabama,945,28
2021-10-24,Alabama,414,1
2021-10-25,Alabama,301,0
2021-10-26,Alabama,943,17
2021-10-27,Alabama,7393,8
2021-10-28,Alabama,2141,52
2021-10-29,Alabama,376,48
2021-10-30,Alabama,488,41
2021-10-31,Alabama,394,0
2021-11-01,Alabama,217,0
2021-11-02,Alabama,745,56
2021-11-03,Alabama,484,47
2021-11-04,Alabama,1089,58
2021-11-05,Alabama,575,52
2021-11-06,Alabama,583,48
2021-11-07,Alabama,292,0
2021-11-08,Alabama,223,0
2021-11-09,Alabama,995,45
2021-11-10,Alabama,178,38
2021-11-11,Alabama,686,17
2021-11-12,Alabama,722,0
2021-11-13,Alabama,600,47
2021-11-14,Alabama,259,0
2021-11-15,Alabama,258,0
2021-11-16,Alabama,542,18
2021-11-17,Alabama,496,26
2021-11-18,Alabama,492,18
2021-11-19,Alabama,473,20
2021-11-20,Alabama,680,10
2021-11-21,Alabama,272,0
2021-11-22,Alabama,253,0
2021-11-23,Alabama,619,13
2021-11-24,Alabama,416,16
2021-11-25,Alabama,398,13
2021-11-26,Alabama,0,0
2021-11-27,Alabama,357,0
2021-11-28,Alabama,157,0
2021-11-29,Alabama,176,1
2021-11-30,Alabama,477,3
2021-12-01,Alabama,536,24
2021-12-02,Alabama,767,14
2021-12-03,Alabama,595,15
2021-12-04,Alabama,478,13
2021-12-05,Alabama,361,0
2021-12-06,Alabama,281,0
2021-12-07,Alabama,630,14
2021-12-08,Alabama,687,4
2021-12-09,Alabama,549,0
2021-12-10,Alabama,592,40
2021-12-11,Alabama,713,22
2021-12-12,Alabama,330,0
2021-12-13,Alabama,294,0
2021-12-14,Alabama,1655,20
2021-12-15,Alabama,647,19
2021-12-16,Alabama,816,16
2021-12-17,Alabama,908,23
2021-12-18,Alabama,692,10
2021-12-19,Alabama,552,0
2021-12-20,Alabama,552,0
2021-12-21,Alabama,1254,15
2021-12-22,Alabama,1460,12
2021-12-23,Alabama,2060,22
2021-12-24,Alabama,2466,16
2021-12-25,Alabama,2449,0
2021-12-26,Alabama,863,0
2021-12-27,Alabama,1679,0
2021-12-28,Alabama,3705,18
2021-12-29,Alabama,5975,18
2021-12-30,Alabama,8256,1
2021-12-31,Alabama,8051,0
2022-01-01,Alabama,0,0
2022-01-02,Alabama,12927,0
2022-01-03,Alabama,4062,0
2022-01-04,Alabama,7572,41
2022-01-05,Alabama,11075,7
2022-01-06,Alabama,12626,40
2022-01-07,Alabama,12972,42
2022-01-08,Alabama,8332,39
2022-01-09,Alabama,12452,0
2022-01-10,Alabama,6250,0
2022-01-11,Alabama,8536,6
2022-01-12,Alabama,11204,11
2022-01-13,Alabama,0,0
2022-01-14,Alabama,0,0
2022-01-15,Alabama,0,0
2022-01-16,Alabama,51856,93
2022-01-17,Alabama,8058,0
2022-01-18,Alabama,6728,0
2022-01-19,Alabama,17106,22
2022-01-20,Alabama,15986,36
2022-01-21,Alabama,16525,32
2022-01-22,Alabama,16506,2
2022-01-23,Alabama,9807,0
2022-01-24,Alabama,5955,0
2022-01-25,Alabama,8780,88
2022-01-26,Alabama,8780,88
2022-01-27,Alabama,0,0
2022-01-28,Alabama,42408,221
2022-01-29,Alabama,10751,39
2022-01-30,Alabama,6490,0
2022-01-31,Alabama,5459,0
2022-02-01,Alabama,5639,60
2022-02-02,Alabama,5404,69
2022-02-03,Alabama,0,0
2022-02-04,Alabama,11196,156
2022-02-05,Alabama,1924,0
2022-02-06,Alabama,0,0
2022-02-07,Alabama,3456,16
2022-02-08,Alabama,4507,20
2022-02-09,Alabama,3649,45
2022-02-10,Alabama,2713,50
2022-02-11,Alabama,2835,3
2022-02-12,Alabama,2438,66
2022-02-13,Alabama,1054,0
2022-02-14,Alabama,724,0
2022-02-15,Alabama,2136,85
2022-02-16,Alabama,1975,93
2022-02-17,Alabama,2108,38
2022-02-18,Alabama,1440,90
2022-02-19,Alabama,1153,56
2022-02-20,Alabama,484,0
2022-02-21,Alabama,392,0
2022-02-22,Alabama,639,5
2022-02-23,Alabama,1232,69
2022-02-24,Alabama,1225,95
2022-02-25,Alabama,1257,84
2022-02-26,Alabama,1169,39
2022-02-27,Alabama,358,0
2022-02-28,Alabama,201,0
2022-03-01,Alabama,786,62
2022-03-02,Alabama,1259,48
2022-03-03,Alabama,762,72
2022-03-04,Alabama,573,73
2022-03-05,Alabama,0,0
2022-03-06,Alabama,0,0
2022-03-07,Alabama,3710,89
2022-03-08,Alabama,631,79
2022-03-09,Alabama,536,46
2022-03-10,Alabama,632,72
2022-03-11,Alabama,545,66
2022-03-12,Alabama,0,0
2022-03-13,Alabama,0,0
2022-03-14,Alabama,511,58
2022-03-15,Alabama,217,53
2022-03-16,Alabama,438,1
2022-03-17,Alabama,527,54
2022-03-18,Alabama,494,40
2022-03-19,Alabama,0,0
2022-03-20,Alabama,0,0
2022-03-21,Alabama,375,55
2022-03-22,Alabama,200,46
2022-03-23,Alabama,185,30
2022-03-24,Alabama,398,4
2022-03-25,Alabama,164,37
